2003,17,MORELIA,,CHAPULTEPEC ORIENTE,PARA LAS CALLES GRAL. JOSE MANUEL MICHELTORENA GRAL. JUAN JOSE BAZ GRAL. JUAN CANO Y GRAL. JUAN JOSE LANDERO,571
2003,18,ZACAPU,,PARQUE INDUSTRIAL ZACAPU ,TRAMO DE LA CARRETERA ZACAPU-VILLA JIMENEZ ,320
2003,19,ECUANDUREO,,PARQUE INDUSTRIAL REGION ZAMORA ,PARA EL KM. 8 DE LA CARRETERA RINCONADA A LA PIEDAD ,25
2003,20,TARIMBARO,,LOMA COLORADA ,PARA EL CAMINO TORREON NUEVO-CHIQUIMITIO ,32
2003,21,JACONA,,ARCOIRIS DE CURUTARAN,,32
2003,021-A,MORELIA,,CONJUNTO HABITACIONAL VILLA MAGNA,,333
2003,22,MORELIA,,VILLAS RODRIGUEZ ALCAINE,,396
2003,23,QUIROGA,,EL TZIRATE ,,59
2003,24,TARIMBARO,,PASEO SANTA FE,,187
2003,25,CIUDAD HIDALGO,,LA ANTORCHA,,111
2003,26,MORELIA,,CALLE SIN NOMBRE ,CAMINO AL INSTITUTO TECNOLOGICO DE ESTUDIOS SUPERIORES DE MONTERREY,737
2003,27,MORELIA,,CALLE ESCUADRON 201,,709
2004,1,ARTEAGA ,,LAS CAÑAS ,,19
2004,2,MORELIA,,VALLE DEL DURAZNO,,61
2004,3,MORELIA,,SIMPANIO NORTE,,61
2004,4,MORELIA,,AMPLIACION VALLE DORADO,,89
2004,5,VISTA HERMOSA,,CALLE PRIVADA DE HOSPITAL ,ENTRE CARRETERA A ZAMORA Y CALLE SIN NOMBRE,94
2004,6,MORELIA,,CONJUNTO EN CONDOMINIO QUINTA DEL SOL,,534
2004,7,PATZCUARO,,CAMPESTRE SEÑORIAL ,EN TODAS LAS AREAS O MANZANAS NO URBANIZADAS ,26
2004,8,MORELIA,,CONJUNTO HABITACIONAL AMPLIACION JOSE MA. CABRERA ,,181
2004,9,MORELIA,SANTA MARIA DE GUIDO,PRIVADA DE J. J. TABLADA ,PARALELA AL ORIENTE DE LA CALLE ATENOGENES SEGALE,355
2004,009-A,LAZARO CARDENAS,,LA ORILLA,,412
2004,10,MORELIA,,BALCONES DE QUINCEO,,181
2004,11,MORELIA,,VILLAS DE LAS LOMAS,,294
2004,011-A,CHARO,,PROYECTO ECOLOGICO CONTROLADO LA POLVILLA,,89
